"filename", "language", "pip requirements", "Python", "JavaScript", "PostCSS", "HTML", "Markdown", "Ini", "MS SQL", "Docker", "comment", "blank", "total"
"c:\Users\tyler\Documents\Coding\Flask\cwmt\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\tyler\Documents\Coding\Flask\cwmt\docs\DEPLOYMENT_MIGRATION.md", "Markdown", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 34, 146
"c:\Users\tyler\Documents\Coding\Flask\cwmt\docs\EMAIL_ENCRYPTION_FIX.md", "Markdown", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 98
"c:\Users\tyler\Documents\Coding\Flask\cwmt\docs\todo\flask_mail\email-purposes.md", "Markdown", 0, 0, 0, 0, 0, 467, 0, 0, 0, 0, 82, 549
"c:\Users\tyler\Documents\Coding\Flask\cwmt\docs\todo\flask_mail\sql-tables.md", "Markdown", 0, 0, 0, 0, 0, 245, 0, 0, 0, 0, 66, 311
"c:\Users\tyler\Documents\Coding\Flask\cwmt\docs\todo\flask_mail\user-stories.md", "Markdown", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 53, 238
"c:\Users\tyler\Documents\Coding\Flask\cwmt\docs\todo\frontend\style_description.md", "Markdown", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 61, 280
"c:\Users\tyler\Documents\Coding\Flask\cwmt\fix_column.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 3, 10
"c:\Users\tyler\Documents\Coding\Flask\cwmt\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 13, 51
"c:\Users\tyler\Documents\Coding\Flask\cwmt\migrations\env.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 34, 26, 114
"c:\Users\tyler\Documents\Coding\Flask\cwmt\migrations\versions\a1b2c3d4e5f6_rename_mail_password_hash_to_encrypted.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 7, 42
"c:\Users\tyler\Documents\Coding\Flask\cwmt\migrations\versions\bdb5548afc4c_initial_migration_with_all_tables.py", "Python", 0, 292, 0, 0, 0, 0, 0, 0, 0, 12, 29, 333
"c:\Users\tyler\Documents\Coding\Flask\cwmt\requirements.txt", "pip requirements", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\__init__ copy.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 21, 41, 153
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\__init__.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 0, 22, 22, 114
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\announcements.py", "Python", 0, 108, 0, 0, 0, 0, 0, 0, 0, 13, 35, 156
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\courses\course_instances.py", "Python", 0, -30, 0, 0, 0, 0, 0, 0, 0, -9, -8, -47
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\courses\course_template.py", "Python", 0, -33, 0, 0, 0, 0, 0, 0, 0, -8, -7, -48
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\courses\payable_template.py", "Python", 0, -12, 0, 0, 0, 0, 0, 0, 0, 1, 2, -9
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\enrollment_management.py", "Python", 0, 142, 0, 0, 0, 0, 0, 0, 0, 18, 45, 205
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\flask_mail\mail_routes.py", "Python", 0, 167, 0, 0, 0, 0, 0, 0, 0, 16, 38, 221
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\flask_mail\seed_templates.py", "Python", 0, 320, 0, 0, 0, 0, 0, 0, 0, 11, 68, 399
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\payments\payment_management.py", "Python", 0, 74, 0, 0, 0, 0, 0, 0, 0, 14, 26, 114
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\payments\stripe_payments.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\routes.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, -1, 5, 6
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\users\admin.py", "Python", 0, -283, 0, 0, 0, 0, 0, 0, 0, -49, -70, -402
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\users\auth.py", "Python", 0, 127, 0, 0, 0, 0, 0, 0, 0, 19, 23, 169
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\users\instructor.py", "Python", 0, -26, 0, 0, 0, 0, 0, 0, 0, -5, -9, -40
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\users\student.py", "Python", 0, 149, 0, 0, 0, 0, 0, 0, 0, 24, 41, 214
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\controllers\users\superuser.py", "Python", 0, 83, 0, 0, 0, 0, 0, 0, 0, 4, 22, 109
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\dev\database.py", "Python", 0, 116, 0, 0, 0, 0, 0, 0, 0, 16, 20, 152
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\announcements.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 13, 17, 64
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\app_settings.py", "Python", 0, 152, 0, 0, 0, 0, 0, 0, 0, 122, 41, 315
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\flask_mail\email_templates.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 107, 33, 252
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\logs.py", "Python", 0, 231, 0, 0, 0, 0, 0, 0, 0, 184, 50, 465
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\models\user_folder\students.py", "Python", 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -1, -6
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\admin_service.py", "Python", 0, 201, 0, 0, 0, 0, 0, 0, 0, 11, 61, 273
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\announcement_service.py", "Python", 0, 100, 0, 0, 0, 0, 0, 0, 0, 59, 31, 190
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\course_instance_service.py", "Python", 0, 134, 0, 0, 0, 0, 0, 0, 0, 81, 29, 244
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\course_template_service.py", "Python", 0, 167, 0, 0, 0, 0, 0, 0, 0, 84, 35, 286
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\database_manipulation.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 11, 19, 76
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\enrollment_service.py", "Python", 0, 228, 0, 0, 0, 0, 0, 0, 0, 110, 59, 397
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\flask_mail\email_config.py", "Python", 0, 100, 0, 0, 0, 0, 0, 0, 0, 8, 8, 116
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\flask_mail\email_service.py", "Python", 0, 98, 0, 0, 0, 0, 0, 0, 0, 57, 30, 185
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\flask_mail\email_template_service.py", "Python", 0, 120, 0, 0, 0, 0, 0, 0, 0, 132, 47, 299
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\instructor_service.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 35, 17, 90
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\payable_template_service.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 52, 19, 111
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\payment_service.py", "Python", 0, 142, 0, 0, 0, 0, 0, 0, 0, 70, 36, 248
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\services\superuser_service.py", "Python", 0, 197, 0, 0, 0, 0, 0, 0, 0, 110, 49, 356
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\bootstrap-overide.css", "PostCSS", 0, 0, 0, 640, 0, 0, 0, 0, 0, 29, 151, 820
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\animations.css", "PostCSS", 0, 0, 0, 223, 0, 0, 0, 0, 0, 16, 53, 292
"c:\Users\tyler\Documents\Coding\Flask\cwmt\src\static\css\components\buttons-badges.css", "PostCSS", 0, 0, 0, 112, 0, 0, 0, 0, 0, 4, 25, 141
